Конфигурация,Локализация,Отношение к говорящему (ладонь),Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по волне,нет
3,нейтральная,от говорящего,ладонь от себя,вверх,траекторный,вниз,по волне,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,локальный,локальный,по прямой,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,по кругу,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по прямой,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,трясется,нет
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по волне,да
5,подбородок,к говорящему,ребром,вверх,локальный,локальный,вниз,нет
Ф,нейтральная,к говорящему,ребром,в сторону,локальный,локальный,ничего,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по прямой,да
Ф,нейтральная,к говорящему,вниз,в сторону,локальный,локальный,трясется,да
1,нейтральная,к говорящему,вниз,в сторону,траекторный,в сторону,вниз,да
3,подбородок,к говорящему,ладонь к себе,вверх,локальный,локальный,трясется,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по зигзагу,нет
П,нейтральная,от говорящего,вверх,вперед,локальный,локальный,по кругу,да
5,нейтральная,от говорящего,вверх,вперед,локальный,локальный,сжимается-разжимается,да
Ч,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
О,нейтральная,от говорящего,ладонь от себя,вперед,траекторный,в сторону,по волне,нет
У,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,по прямой,да
П,нейтральная,от говорящего,ребром,вперед,траекторный,вниз,по зигзагу,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,локальный,локальный,по кругу,да
1,подбородок,к говорящему,ладонь к себе,вперед,локальный,локальный,ничего,нет
X,подбородок,к говорящему,ладонь к себе,вперед,локальный,локальный,по кругу,да
Е,нейтральная,от говорящего,ребром,в сторону,локальный,локальный,сжимается-разжимается,нет
5,голова,к говорящему,ребром,вверх,локальный,локальный,по прямой,да
Э,нейтральная,от говорящего,ребром,в сторону,локальный,локальный,трясется,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,трясется,да
1,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
1,нейтральная,от говорящего,ребром,в сторону,локальный,в сторону,трясется,нет
Сомкнуты в О,нейтральная,от говорящего,ладонь от себя,вперед,траекторный,в сторону,по зигзагу,нет
5,голова,от говорящего,ребром,вперед,траекторный,в сторону,трясется,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,локальный,локальный,по кругу,да
3,нейтральная,к говорящему,ребром,вверх,траекторный,вниз,вниз,нет
X,подбородок,к говорящему,ладонь к себе,вперед,локальный,локальный,по прямой,да
1,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по прямой,да
П,нейтральная,от говорящего,вверх,вперед,траекторный,вниз,по волне,нет
О,нейтральная,от говорящего,ребром,в сторону,траекторный,в сторону,по прямой,нет
Е,нейтральная,от говорящего,вниз,вперед,локальный,локальный,по кругу,да
X,голова,от говорящего,ладонь от себя,вперед,локальный,локальный,по кругу,да
4,нейтральная,от говорящего,ладонь от себя,вверх,траекторный,вниз,по волне,нет
3,нейтральная,от говорящего,ребром,вниз,траекторный,в сторону,трясется,нет
X,голова,от говорящего,ладонь от себя,вверх,траекторный,вниз,сжимается-разжимается,нет
4,нейтральная,от говорящего,ребром,вниз,траекторный,в сторону,трясется,нет
3,нейтральная,к говорящему,ребром,в сторону,локальный,локальный,по кругу,да
Э,нейтральная,от говорящего,ладонь от себя,вперед,траекторный,вниз,сжимается-разжимается,да
Сомкнуты в О,нейтральная,от говорящего,ладонь от себя,вперед,траекторный,вниз,по волне,нет
П,голова,к говорящему,ребром,вверх,траекторный,вниз,разворачивается,да
